ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANTH-032,2009A,JEREMY A SABLOFF,3.50,2.10,3.50,3.00,2.30
ANTH-133,2013C,CLARK LOWDEN ERICKSON,1.75,2.25,1.88,1.50,3.38
ENGL-057,2013A,DAVID KAZANJIAN,3.63,2.00,3.75,3.63,2.63
ENGL-270,2016A,JENNIFER STERNAD PONCE DE LEON,4.00,3.00,4.00,4.00,3.00
HIST-071,2016A,ANN C. FARNSWORTH-ALVEAR,2.35,2.33,2.90,3.11,2.64
HIST-179,2016C,ANTONIO FEROS,3.17,2.30,3.51,3.63,1.95
HIST-312,2016A,MARGO TODD,3.50,3.00,3.75,3.67,3.33
MUSC-158,2010A,TIMOTHY ROMMEN,3.19,2.04,3.74,3.52,1.88
MUSC-258,2014A,TIMOTHY ROMMEN,3.38,2.44,3.63,4.00,2.50
PRTG-240,2016C,MERCIA S FLANNERY,3.27,1.29,3.64,3.71,1.71
PSCI-314,2006A,TULIA G. FALLETI,2.17,2.75,2.75,2.25,3.00
SPAN-390,2016C,MARIE ELISE ESCALANTE,2.21,2.25,2.43,2.42,2.45
SPAN-396,2016C,MARIE ELISE ESCALANTE,3.00,2.00,2.89,2.50,2.00
ANTH-468,2008C,ROBERT J SHARER,3.77,2.31,3.54,3.00,2.77
HIST-010,2005A,THOMAS M. RICKS,1.73,3.07,2.20,1.87,3.27
HIST-307,2007C,ANN C. FARNSWORTH-ALVEAR,3.08,3.00,3.54,3.54,3.54
PSCI-213,2016C,TULIA G. FALLETI,3.00,2.52,2.86,3.12,2.68
SPAN-380,2015A,LUIS MORENO CABALLUD,2.73,1.87,3.07,2.87,1.93
SPAN-386,2016A,FRANCISCO FERNANDEZ,2.92,2.60,3.17,3.00,3.30
SPAN-395,2014A,OLGA GUADALUPE,3.00,2.30,3.27,3.40,2.60
SPAN-397,2016C,JORGE TELLEZ,3.46,1.82,3.77,3.55,2.00
HIST-070,2016C,JONATHAN M SQUARE,1.84,2.12,2.02,2.32,2.15
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
PSCI-411,2016C,DAWN L TEELE,3.33,3.00,3.50,3.50,3.00
URBS-414,2012C,PAUL M FARBER,3.70,2.40,4.00,3.80,2.40
ANTH-254,2015A,CLARK LOWDEN ERICKSON,2.50,2.50,2.67,2.83,2.83
HIST-207,2007A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HIST-589,2007A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-250,2013A,JOSE M REGUEIRO,2.67,2.08,3.17,2.92,1.92
SPAN-394,2016A,JORGE TELLEZ,3.56,1.38,3.69,3.54,1.85
LALS-400,2009A,ANN C. FARNSWORTH-ALVEAR,3.00,1.83,3.33,3.17,2.33
ENGL-070,2016C,JENNIFER STERNAD PONCE DE LEON,3.09,2.40,3.26,3.20,2.90
HIST-205,2010A,TAMARA J. WALKER,3.00,3.00,3.33,3.33,3.33
MUSC-157,2012A,TIMOTHY ROMMEN,3.23,2.25,3.73,3.40,2.25
PRTG-221,2016A,MERCIA S FLANNERY,3.57,2.00,3.64,3.58,2.33
ROML-396,2009A,ROMAN DE LA CAMPA,2.73,3.00,2.64,2.36,3.18
AFRC-107,2009C,TAMARA D WALKER,2.44,2.44,2.56,2.22,2.67
ANTH-587,2014A,DEBORAH A THOMAS,3.64,3.57,3.93,3.93,3.50
CIS-106,2016C,NORMAN I BADLER,1.19,3.07,2.38,2.20,3.20
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
ANTH-557,2014C,CLARK LOWDEN ERICKSON,3.00,3.00,2.43,3.14,3.71
ENGL-592,2015C,TIMOTHY CORRIGAN,3.88,2.86,4.00,3.50,2.63
HIST-178,2016A,ANTONIO FEROS,3.27,1.90,3.57,3.43,1.57
ANTH-433,2014A,CLARK LOWDEN ERICKSON,3.33,3.00,3.67,3.33,3.33
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
SPAN-223,2016C,AMELIA RABOSO MANAS,3.17,2.00,3.25,3.29,2.71
SPAN-590,2008A,YOLANDA MARTINEZ-SAN MIGUEL,3.20,2.00,3.80,3.60,2.80
ANTH-125,2011A,DEBORAH A THOMAS,2.78,2.35,2.89,2.82,2.41
HIST-072,2016C,CHRISTOPHER H HEANEY,3.00,2.23,3.07,3.15,2.85
PSCI-419,2013A,TULIA G. FALLETI,3.20,3.00,3.40,3.00,3.80
ROML-290,2013A,RACHEL E ELLIS,3.25,2.45,3.58,3.64,2.09
SOCI-431,2016C,MANUEL LOMBERA,3.00,3.33,2.83,3.17,3.67
ANTH-116,2016A,DEBORAH A THOMAS,2.65,2.50,3.00,2.88,2.94
HIST-233,2016C,YVONNE E FABELLA,3.08,2.83,3.33,3.33,3.25
PSCI-331,2010C,DANIEL Q GILLION,2.90,3.00,3.30,3.22,2.90
SOCI-266,2016C,AMADA ARMENTA,3.60,2.10,3.70,3.80,2.50
ARTH-294,2016A,KAJA SILVERMAN,3.65,3.17,3.77,3.80,3.10
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ROML-296,2012C,RACHEL E ELLIS,3.57,2.71,3.57,3.29,2.43
ARTH-299,2011B,LIA MARKEY,4.00,2.67,4.00,4.00,3.00
LALS-275,2010A,CARMEN E LAMAS,2.20,2.78,2.70,2.44,3.78
SPAN-222,2010A,JEAN O'BRYAN KNIGHT,3.25,2.30,3.42,3.10,2.60
CINE-294,2012A,RACHEL E ELLIS,3.10,2.67,3.30,2.89,2.56
HIST-175,2015A,TAMARA J. WALKER,2.30,2.00,2.55,2.52,1.96
ANTH-215,2012C,CHRISTA D CESARIO,2.89,2.10,3.00,3.10,2.50
AFRC-387,2016C,GRACE L. SANDERS JOHNSON,3.83,3.00,3.83,3.92,3.00
CINE-224,2013A,RACHEL E ELLIS,3.36,2.70,3.82,3.22,2.60
SPAN-287,2013A,MICHAEL R SOLOMON,3.56,1.67,3.89,3.78,2.56
ANTH-271,2015C,JOANNE BARON,3.67,2.25,3.67,4.00,2.00
ARTH-100,2016C,AARON LEVY,3.08,1.69,3.23,3.31,2.50
HIST-106,2016C,LEE V CASSANELLI,2.58,1.92,2.92,2.50,2.17
LALS-155,2016A,SANDRA ANDINO,2.39,1.80,2.56,2.47,1.93
LALS-425,2016A,JOHNNY IRIZARRY,3.50,1.50,3.70,3.90,2.00
AFRC-527,2015C,GRACE L. SANDERS JOHNSON,3.73,3.00,3.91,4.00,3.10
HIST-174,2015C,AMY C. OFFNER,3.80,3.00,3.80,3.67,3.00
MUSC-255,2014C,TIMOTHY ROMMEN,2.45,2.25,3.45,3.00,2.13
PSCI-554,2015A,TULIA G. FALLETI,3.00,3.33,3.00,3.50,3.17
SOCI-530,2015A,AMADA ARMENTA,3.23,2.92,3.00,3.25,3.25
MUSC-257,2015C,TIMOTHY ROMMEN,3.83,2.20,3.83,4.00,2.60
ENGL-073,2016A,JENNIFER STERNAD PONCE DE LEON,3.29,2.64,3.53,3.64,2.57
ENGL-590,2016C,JENNIFER STERNAD PONCE DE LEON,3.42,3.64,3.42,3.64,3.80
SPAN-388,2016C,REYES CABALLO-MARQUEZ,3.56,2.07,3.75,3.50,2.14
